state,protocol,train,test,n_tiles,auc_id,auc_ood,gap,gap_lo,gap_hi,pct_tiles_ood_higher,signif
LA,shadedX,A,AE,29,0.8361960479438906,0.8261097197128765,-0.010086328231013932,-0.026850366495655704,0.006378390105855022,41.37931034482759,no
LA,shadedX,AE,A,29,0.8426535160287186,0.846814717728608,0.004161201699889183,-0.0048319790160987865,0.013176238869613157,58.620689655172406,no
MN,band,A,AE,44,0.9524628014741932,0.9555475349536554,0.003084733479462302,-0.0005337753704583265,0.006467924520444133,56.81818181818182,no
MN,band,AE,A,44,0.9566313895060747,0.9543395424262477,-0.0022918470798267724,-0.0051084194107601484,0.000718095537479966,40.909090909090914,no
MN,shadedX,A,AE,27,0.8176399358992553,0.8173748097210263,-0.0002651261782287469,-0.010766519064505308,0.00977539177469255,55.55555555555556,no
MN,shadedX,AE,A,27,0.8418520337378831,0.8422487484757072,0.00039671473782428485,-0.01233874565452182,0.012664780307994342,40.74074074074074,no
MO,band,A,AE,45,0.9932728443698982,0.9927687485877114,-0.0005040957821868542,-0.0015999052361179828,0.0005014151090541018,53.333333333333336,no
MO,band,AE,A,45,0.9920560351864419,0.9929873536054751,0.0009313184190331707,-0.00044613042115818665,0.002449159280414734,53.333333333333336,no
MO,shadedX,A,AE,31,0.8382406334492376,0.8349661496523109,-0.003274483796926734,-0.01592355659990043,0.009132615041745075,51.61290322580645,no
MO,shadedX,AE,A,31,0.8433609698065109,0.8447947628645581,0.0014337930580472645,-0.010106436003951582,0.014723841176836023,51.61290322580645,no
NC,band,A,AE,14,0.8724398959099796,0.8756070915829398,0.0031671956729603817,-0.004825030126185242,0.012284762497923478,50.0,no
NC,band,AE,A,14,0.8808790432038468,0.881391542224826,0.0005124990209792021,-0.012760507370604345,0.01413829108925046,64.28571428571429,no
NC,shadedX,A,AE,9,0.7550795765745896,0.7626104842621169,0.007530907687527387,-0.012766295333219676,0.026353362214263626,55.55555555555556,no
NC,shadedX,AE,A,9,0.8573771270514403,0.8585371497940515,0.0011600227426111836,-0.006772504151192492,0.009926979736041019,33.33333333333333,no
TX,band,A,AE,53,0.9636808507049426,0.9625571029674688,-0.0011237477374737726,-0.004724606516930741,0.00214375394855449,45.28301886792453,no
TX,band,AE,A,53,0.9662240790176974,0.9650399694594574,-0.0011841095582397388,-0.004149668792314151,0.001925915948169476,43.39622641509434,no
TX,shadedX,A,AE,28,0.8297378112114816,0.8294694060865538,-0.0002684051249279007,-0.011385581528082896,0.010517588130693999,53.57142857142857,no
TX,shadedX,AE,A,28,0.830569208983304,0.8339232291713163,0.0033540201880123055,-0.008902600151742015,0.015679191838318573,50.0,no
VT,band,A,AE,13,0.9745985985016536,0.9774129297920845,0.002814331290430909,-0.007030372545473013,0.01836240451810839,30.76923076923077,no
VT,band,AE,A,13,0.9762129188496466,0.9728838572938853,-0.003329061555761369,-0.01596240343701851,0.004500326199717159,61.53846153846154,no
VT,shadedX,A,AE,11,0.7806784379792165,0.788941608742988,0.008263170763771427,-0.013537110954133824,0.028269588036612402,45.45454545454545,no
VT,shadedX,AE,A,11,0.7827219122154421,0.7849749361758233,0.0022530239603811035,-0.01553323276527889,0.0207518624541876,54.54545454545454,no
