state,protocol,fold,train_domain,eval_domain,kind,tile,n_pos,n_neg,auc,ap,bfe,panel_scale,elev,hand,imperv,water
VT,band,2,AE,AE,ID,36_53,43,120,0.9986434108527131,0.9962604450765488,8.058741670771274,6000.0,279.1339416503906,34.09999084472656,0.0,0.0
VT,band,2,AE,AE,ID,37_50,705,866,0.9962999361210751,0.9940518499563304,3.899178062337426,6000.0,266.8780212402344,11.899993896484375,0.0,0.0
VT,band,3,A,A,ID,35_50,97,43,0.947254854950851,0.9789337670912412,1.2456999735442347,12000.0,32.3161096572876,1.6000003814697266,0.0,0.09888888888928232
VT,band,3,A,A,ID,35_52,222,129,0.9657098959424542,0.9781342946008798,0.632824558747173,6000.0,96.06607055664062,4.299999237060547,0.0,0.0
VT,band,3,A,A,ID,37_49,693,855,0.9769862366353593,0.9721657464812737,2.0980755805239,12000.0,356.2074737548828,18.099990844726562,0.0,0.0
VT,band,3,A,AE,OOD,35_52,950,262,0.9615889915628767,0.9849357330800865,0.632824558747173,6000.0,30.304845809936523,0.0,0.0,0.14944444444409677
VT,band,3,A,AE,OOD,37_49,918,992,0.9936968515004568,0.9912276557895523,2.0980755805239,6000.0,303.2053527832031,12.249996185302734,0.0,0.0
VT,band,3,AE,A,OOD,35_50,97,43,0.9033804842963319,0.9543976555997522,1.2456999735442347,12000.0,32.3161096572876,1.6000003814697266,0.0,0.09888888888928232
VT,band,3,AE,A,OOD,35_52,222,129,0.9454920036315386,0.9642665287514006,0.632824558747173,6000.0,96.06607055664062,4.299999237060547,0.0,0.0
VT,band,3,AE,A,OOD,37_49,693,855,0.9729981519455203,0.9685604467789688,2.0980755805239,12000.0,356.2074737548828,18.099990844726562,0.0,0.0
VT,band,3,AE,AE,ID,35_52,950,262,0.9627681799919646,0.9869389219245801,0.632824558747173,6000.0,30.304845809936523,0.0,0.0,0.14944444444409677
VT,band,3,AE,AE,ID,37_49,918,992,0.9940482465387589,0.9934545013323214,2.0980755805239,6000.0,303.2053527832031,12.249996185302734,0.0,0.0
VT,shadedX,0,A,A,ID,36_49,738,66,0.7610043524677671,0.9621932219487466,1.2456999735442347,12000.0,239.527099609375,1.70001220703125,0.0,0.0
VT,shadedX,0,A,A,ID,36_51,402,148,0.9490553986822643,0.9763163045576203,2.7378647473443487,12000.0,201.3068618774414,1.7000045776367188,0.0,0.0
VT,shadedX,0,A,A,ID,37_48,570,53,0.6930817610062894,0.9590416585903092,2.0980755805239,12000.0,452.94000244140625,0.0,0.0,0.007777777777731397
VT,shadedX,0,A,AE,OOD,36_49,367,58,0.5908108615991732,0.9091073355032966,1.2456999735442347,6000.0,177.78707885742188,0.100006103515625,0.0,0.0
VT,shadedX,0,A,AE,OOD,36_51,568,124,0.6600408905043162,0.8883880701891104,2.7378647473443487,6000.0,157.2481689453125,1.9500045776367188,0.0,0.0
VT,shadedX,0,A,AE,OOD,37_48,264,56,0.515422077922078,0.837449985096969,2.0980755805239,6000.0,101.58300399780273,0.5,0.0,0.060555555555560456
VT,shadedX,0,AE,A,OOD,36_49,738,66,0.6908310749774166,0.9641702787370625,1.2456999735442347,12000.0,239.527099609375,1.70001220703125,0.0,0.0
VT,shadedX,0,AE,A,OOD,36_51,402,148,0.6504134731746672,0.842638288437241,2.7378647473443487,12000.0,201.3068618774414,1.7000045776367188,0.0,0.0
VT,shadedX,0,AE,A,OOD,37_48,570,53,0.6522012578616353,0.9475968247804633,2.0980755805239,12000.0,452.94000244140625,0.0,0.0,0.007777777777731397
VT,shadedX,0,AE,AE,ID,36_49,367,58,0.7972376209715306,0.9613191975768991,1.2456999735442347,6000.0,177.78707885742188,0.100006103515625,0.0,0.0
