state,protocol,fold,train_domain,eval_domain,kind,tile,n_pos,n_neg,auc,ap,bfe,panel_scale,elev,hand,imperv,water
VT,band,0,A,A,ID,35_51,139,42,0.9391915039397054,0.9775880229416574,0.632824558747173,24000.0,29.56999969482422,0.0,0.0,0.6511111111119043
VT,band,0,A,A,ID,36_49,738,660,0.9884023158413402,0.9872640390173063,1.2456999735442347,12000.0,290.8406066894531,7.850013732910156,0.0,0.0
VT,band,0,A,A,ID,36_51,402,643,0.9916243046045047,0.988828301288845,2.7378647473443487,6000.0,300.5626525878906,23.100006103515625,0.0,0.0
VT,band,0,A,A,ID,37_48,570,636,0.988585457354077,0.987209639796939,2.0980755805239,12000.0,452.94000244140625,12.700004577636719,0.0,0.0
VT,band,0,A,AE,OOD,35_51,413,71,0.9264570473689596,0.9806644076072315,0.632824558747173,24000.0,29.56999969482422,0.0,0.0,0.8755555555563912
VT,band,0,A,AE,OOD,36_49,367,604,0.9867188768789361,0.9733534653533902,1.2456999735442347,12000.0,326.9890441894531,19.70001220703125,0.0,0.0
VT,band,0,A,AE,OOD,36_51,568,846,0.9920774647887323,0.9863685494778869,2.7378647473443487,6000.0,289.5704650878906,21.10000228881836,0.0,0.0
VT,band,0,A,AE,OOD,37_48,264,317,0.9890426345473664,0.9889930895884689,2.0980755805239,12000.0,452.94000244140625,15.199996948242188,0.0,0.0
VT,band,0,AE,A,OOD,35_51,139,42,0.935251798561151,0.9768179754713895,0.632824558747173,24000.0,29.56999969482422,0.0,0.0,0.6511111111119043
VT,band,0,AE,A,OOD,36_49,738,660,0.9882052229613205,0.9873291800412131,1.2456999735442347,12000.0,290.8406066894531,7.850013732910156,0.0,0.0
VT,band,0,AE,A,OOD,36_51,402,643,0.9916436480118846,0.9863474105886465,2.7378647473443487,6000.0,300.5626525878906,23.100006103515625,0.0,0.0
VT,band,0,AE,A,OOD,37_48,570,636,0.9883344367207327,0.9880922657971205,2.0980755805239,12000.0,452.94000244140625,12.700004577636719,0.0,0.0
VT,band,0,AE,AE,ID,35_51,413,71,0.9320669781400266,0.9842135231006635,0.632824558747173,24000.0,29.56999969482422,0.0,0.0,0.8755555555563912
VT,band,0,AE,AE,ID,36_49,367,604,0.9847249039103524,0.962110364714283,1.2456999735442347,12000.0,326.9890441894531,19.70001220703125,0.0,0.0
VT,band,0,AE,AE,ID,36_51,568,846,0.9931492025438684,0.98844532574545,2.7378647473443487,6000.0,289.5704650878906,21.10000228881836,0.0,0.0
VT,band,0,AE,AE,ID,37_48,264,317,0.9894489054583692,0.9888503269294169,2.0980755805239,12000.0,452.94000244140625,15.199996948242188,0.0,0.0
VT,band,1,A,A,ID,36_48,211,280,0.9892857142857143,0.9837646994852816,2.966575696441484,6000.0,307.0805969238281,11.5,0.0,0.0
VT,band,1,A,A,ID,36_50,1469,1150,0.9896534169947021,0.9918873196972999,1.2456999735442347,12000.0,208.58999633789062,6.200004577636719,0.0,0.0
VT,band,1,A,A,ID,37_51,222,250,0.9576756756756757,0.945398449566416,0.8394054991673486,12000.0,275.79466247558594,10.000007629394531,0.0,0.0
VT,band,1,A,A,ID,37_52,405,397,0.9459588891998632,0.9462871916082269,2.7378647473443487,12000.0,374.4640350341797,10.0,0.0,0.0
VT,band,1,A,AE,OOD,36_48,183,399,0.9895229877973624,0.9755269247893301,2.966575696441484,6000.0,326.4600372314453,20.900001525878906,0.0,0.0
VT,band,1,A,AE,OOD,36_50,755,734,0.9877799231282819,0.9876703903423182,1.2456999735442347,12000.0,220.6232147216797,8.400009155273438,0.0,0.0
VT,band,1,A,AE,OOD,37_51,299,250,0.9649498327759197,0.9689587913470104,0.8394054991673486,12000.0,262.63714599609375,7.199981689453125,0.0,0.0
VT,band,1,A,AE,OOD,37_52,117,139,0.9322388243251553,0.9217572212810414,2.7378647473443487,12000.0,376.8450164794922,15.600006103515625,0.0,0.0
VT,band,1,AE,A,OOD,36_48,211,280,0.9877792823290454,0.9773569787658922,2.966575696441484,6000.0,307.0805969238281,11.5,0.0,0.0
VT,band,1,AE,A,OOD,36_50,1469,1150,0.9902974516825997,0.9919892964939936,1.2456999735442347,12000.0,208.58999633789062,6.200004577636719,0.0,0.0
VT,band,1,AE,A,OOD,37_51,222,250,0.9656936936936937,0.9576257101480062,0.8394054991673486,12000.0,275.79466247558594,10.000007629394531,0.0,0.0
VT,band,1,AE,A,OOD,37_52,405,397,0.9552694592157229,0.9519639152846356,2.7378647473443487,12000.0,374.4640350341797,10.0,0.0,0.0
VT,band,1,AE,AE,ID,36_48,183,399,0.9903858005669913,0.9777415884593588,2.966575696441484,6000.0,326.4600372314453,20.900001525878906,0.0,0.0
VT,band,1,AE,AE,ID,36_50,755,734,0.9889510439034953,0.9879308764553837,1.2456999735442347,12000.0,220.6232147216797,8.400009155273438,0.0,0.0
VT,band,1,AE,AE,ID,37_51,299,250,0.9690167224080267,0.9706781453408422,0.8394054991673486,12000.0,262.63714599609375,7.199981689453125,0.0,0.0
VT,band,1,AE,AE,ID,37_52,117,139,0.9390026440386153,0.9150980359097277,2.7378647473443487,12000.0,376.8450164794922,15.600006103515625,0.0,0.0
VT,band,2,A,A,ID,36_52,402,530,0.9867830658030601,0.9820904840736244,0.632824558747173,6000.0,243.76748657226562,11.149993896484375,0.0,0.0
VT,band,2,A,A,ID,36_53,29,37,0.983224603914259,0.9745873710591115,8.058741670771274,12000.0,271.7330322265625,11.300003051757812,0.0,0.0
VT,band,2,A,A,ID,37_50,494,705,0.9901111206822293,0.9860696428133827,3.899178062337426,6000.0,306.1031494140625,16.79998779296875,0.0,0.0
VT,band,2,A,AE,OOD,36_52,511,757,0.9802340581190041,0.9682341316302252,0.632824558747173,6000.0,262.0133972167969,14.050003051757812,0.0,0.0
VT,band,2,A,AE,OOD,36_53,43,120,0.9866279069767442,0.961050612908203,8.058741670771274,12000.0,303.41603088378906,36.0,0.0,0.0
VT,band,2,A,AE,OOD,37_50,705,866,0.9878024011924066,0.9832532055852047,3.899178062337426,6000.0,307.4007873535156,17.0,0.0,0.0
VT,band,2,AE,A,OOD,36_52,402,530,0.9815075565568385,0.9663417709538555,0.632824558747173,6000.0,243.76748657226562,11.149993896484375,0.0,0.0
VT,band,2,AE,A,OOD,36_53,29,37,0.9794967381174278,0.9710015883251797,8.058741670771274,12000.0,271.7330322265625,11.300003051757812,0.0,0.0
VT,band,2,AE,A,OOD,37_50,494,705,0.9909868779969564,0.9876369993267832,3.899178062337426,6000.0,306.1031494140625,16.79998779296875,0.0,0.0
VT,band,2,AE,AE,ID,36_52,511,757,0.973861700450072,0.9411178476984432,0.632824558747173,6000.0,262.0133972167969,14.050003051757812,0.0,0.0
VT,band,2,AE,AE,ID,36_53,43,120,0.9901162790697674,0.9724155703280426,8.058741670771274,12000.0,303.41603088378906,36.0,0.0,0.0
VT,band,2,AE,AE,ID,37_50,705,866,0.9891717032742045,0.9850463876189525,3.899178062337426,6000.0,307.4007873535156,17.0,0.0,0.0
VT,band,3,A,A,ID,35_50,97,43,0.9484536082474226,0.9775477204805145,1.2456999735442347,12000.0,32.3161096572876,1.6000003814697266,0.0,0.09888888888928232
VT,band,3,A,A,ID,35_52,222,129,0.9788393044206998,0.9853613546796424,0.632824558747173,6000.0,50.0750846862793,1.899993896484375,0.0,0.026666666666715525
VT,band,3,A,A,ID,37_49,693,855,0.9856425575723821,0.9814505420383748,2.0980755805239,6000.0,329.3642578125,16.099998474121094,0.0,0.0
VT,band,3,A,AE,OOD,35_52,950,262,0.9691562876657293,0.9883925668671061,0.632824558747173,6000.0,31.52695655822754,0.39999961853027344,0.0,0.10888888888914905
VT,band,3,A,AE,OOD,37_49,918,992,0.9864899588867806,0.9863252035812536,2.0980755805239,6000.0,322.04136657714844,14.0,0.0,0.0
VT,band,3,AE,A,OOD,35_50,97,43,0.9311915607767921,0.9673444711384053,1.2456999735442347,12000.0,32.3161096572876,1.6000003814697266,0.0,0.09888888888928232
VT,band,3,AE,A,OOD,35_52,222,129,0.9766394301278022,0.983915115716961,0.632824558747173,6000.0,50.0750846862793,1.899993896484375,0.0,0.026666666666715525
VT,band,3,AE,A,OOD,37_49,693,855,0.9879665493700581,0.9840638799207265,2.0980755805239,6000.0,329.3642578125,16.099998474121094,0.0,0.0
VT,band,3,AE,AE,ID,35_52,950,262,0.952008838891121,0.9838967423972061,0.632824558747173,6000.0,31.52695655822754,0.39999961853027344,0.0,0.10888888888914905
VT,band,3,AE,AE,ID,37_49,918,992,0.9871652962260173,0.9868103726778228,2.0980755805239,6000.0,322.04136657714844,14.0,0.0,0.0
VT,shadedX,0,A,A,ID,36_49,738,66,0.7803646218280365,0.970729119673458,1.2456999735442347,12000.0,211.40763092041016,0.5999908447265625,0.0,0.0
VT,shadedX,0,A,A,ID,36_51,402,148,0.8460904934785533,0.9305707374124434,2.7378647473443487,6000.0,167.7799835205078,2.0999984741210938,0.0,0.0
VT,shadedX,0,A,A,ID,37_48,570,53,0.6982125124131082,0.9613061742107791,2.0980755805239,12000.0,423.2496643066406,0.0,0.0,0.02999999999996401
VT,shadedX,0,A,AE,OOD,36_49,367,58,0.7821572864793762,0.9499145312308637,1.2456999735442347,12000.0,202.98646545410156,1.899993896484375,0.0,0.0
VT,shadedX,0,A,AE,OOD,36_51,568,124,0.8248665379373012,0.9555425820931728,2.7378647473443487,6000.0,172.6866226196289,1.75,0.0,0.0
VT,shadedX,0,A,AE,OOD,37_48,264,56,0.7371482683982684,0.9218261257796353,2.0980755805239,12000.0,320.19956970214844,0.0,0.0,0.0077777777774585485
VT,shadedX,0,AE,A,OOD,36_49,738,66,0.7663217541266322,0.9709481630579754,1.2456999735442347,12000.0,211.40763092041016,0.5999908447265625,0.0,0.0
VT,shadedX,0,AE,A,OOD,36_51,402,148,0.8258538389135405,0.9220126832020775,2.7378647473443487,6000.0,167.7799835205078,2.0999984741210938,0.0,0.0
VT,shadedX,0,AE,A,OOD,37_48,570,53,0.7428003972194638,0.9629020475218875,2.0980755805239,12000.0,423.2496643066406,0.0,0.0,0.02999999999996401
VT,shadedX,0,AE,AE,ID,36_49,367,58,0.7942779291553134,0.9556546858908103,1.2456999735442347,12000.0,202.98646545410156,1.899993896484375,0.0,0.0
VT,shadedX,0,AE,AE,ID,36_51,568,124,0.8281179009541118,0.9564339550142116,2.7378647473443487,6000.0,172.6866226196289,1.75,0.0,0.0
