state,protocol,train,test,n_tiles,auc_id,auc_ood,gap,gap_lo,gap_hi,pct_tiles_ood_higher,signif
MN,band,AE,A,44,0.9683992149830769,0.9282117784310233,-0.040187436552053785,-0.05703388077929186,-0.025710785154793664,20.454545454545457,yes
MN,shadedX,A,AE,27,0.8050639642979704,0.7463735655485493,-0.05869039874942138,-0.11967202137717163,-0.0011716711197077752,37.03703703703704,yes
MN,shadedX,AE,A,27,0.8660068424455156,0.7239916191973558,-0.14201522324815963,-0.187270282294609,-0.09524779567157034,7.4074074074074066,yes
MO,band,A,AE,45,0.9922715789468414,0.992104258253765,-0.0001673206930762018,-0.0034648454442986138,0.003448073490064576,64.44444444444444,no
MO,band,AE,A,45,0.9952773625827674,0.988744851201827,-0.00653251138094044,-0.011788806777069049,-0.0026467787126491244,24.444444444444443,yes
MO,shadedX,A,AE,31,0.8548575016190831,0.7106243248646893,-0.1442331767543936,-0.21140109367673302,-0.07585146634129447,19.35483870967742,yes
MO,shadedX,AE,A,31,0.8839954352878662,0.6849321159674399,-0.19906331932042623,-0.26908712207456115,-0.13738896158515368,9.67741935483871,yes
NC,band,A,AE,14,0.8906236539539859,0.8792506597053998,-0.011372994248585915,-0.08892835730122454,0.05936397117628838,57.14285714285714,no
NC,band,AE,A,14,0.9554551326602907,0.8047903855845703,-0.15066474707572014,-0.22234495586845907,-0.07616112476529337,7.142857142857142,yes
NC,shadedX,A,AE,9,0.8655258318014242,0.6173964085986048,-0.24812942320281936,-0.37719310144725776,-0.12695780532862475,11.11111111111111,yes
NC,shadedX,AE,A,9,0.8557316469934557,0.7520557286560677,-0.103675918337388,-0.23669797446633364,0.011296656189351852,22.22222222222222,no
TX,band,A,AE,53,0.9597741567005208,0.9567966612480018,-0.002977495452519153,-0.0273124211148273,0.013669241959032515,67.9245283018868,no
TX,band,AE,A,53,0.9708163228799743,0.9526576357131789,-0.018158687166795487,-0.03121797566542302,-0.007024600909643393,20.754716981132077,yes
TX,shadedX,A,AE,28,0.8770532945599652,0.7323993006976837,-0.14465399386228145,-0.20978204343899248,-0.08459206416639109,17.857142857142858,yes
TX,shadedX,AE,A,28,0.8473046218148795,0.7756609706699201,-0.07164365114495916,-0.12372063413196675,-0.024746602153350547,35.714285714285715,yes
VT,band,A,AE,13,0.9666251469773537,0.9772634021414244,0.01063825516407055,-0.002154631421685006,0.021051593042292073,84.61538461538461,no
VT,band,AE,A,13,0.9886562947803854,0.9531174216585974,-0.03553887312178811,-0.057826587261275895,-0.020865329057952832,0.0,yes
VT,shadedX,A,AE,11,0.8306434265982439,0.5685266455010765,-0.2621167810971673,-0.33432433711362186,-0.19941752735115056,0.0,yes
VT,shadedX,AE,A,11,0.7969430147356097,0.6490127814579943,-0.1479302332776154,-0.18272773774448145,-0.11638624395798407,0.0,yes
