state,protocol,fold,train_domain,eval_domain,kind,tile,n_pos,n_neg,auc,ap,bfe,panel_scale,elev,hand,imperv,water
VT,band,1,A,AE,OOD,37_51,299,250,0.9622207357859531,0.964232364593834,0.8394054991673486,12000.0,269.3572998046875,7.6999969482421875,0.0,0.0
VT,band,1,A,AE,OOD,37_52,117,139,0.9316854208940539,0.9311145532612046,2.7378647473443487,12000.0,374.6499938964844,16.300003051757812,0.0,0.0
VT,band,1,AE,A,OOD,36_48,211,280,0.9907921462423832,0.9879322842121949,2.966575696441484,6000.0,297.4963684082031,11.0,0.0,0.0
VT,band,1,AE,A,OOD,36_50,1469,1150,0.9883073371415042,0.9894291551149957,1.2456999735442347,12000.0,203.10137939453125,6.3000030517578125,0.0,0.0
VT,band,1,AE,A,OOD,37_51,222,250,0.960954954954955,0.9520829768941609,0.8394054991673486,12000.0,267.01953125,9.900009155273438,0.0,0.0
VT,band,1,AE,A,OOD,37_52,405,397,0.946835836676307,0.9364366017667968,2.7378647473443487,12000.0,374.4640350341797,10.149993896484375,0.0,0.0
VT,band,1,AE,AE,ID,36_48,183,399,0.988838215757974,0.9698373157324287,2.966575696441484,6000.0,328.5121612548828,22.399993896484375,0.0,0.0
VT,band,1,AE,AE,ID,36_50,755,734,0.9888102928704188,0.9900838310043403,1.2456999735442347,12000.0,229.01193237304688,8.5,0.0,0.0
VT,band,1,AE,AE,ID,37_51,299,250,0.9560267558528428,0.9578111040521136,0.8394054991673486,12000.0,269.3572998046875,7.6999969482421875,0.0,0.0
VT,band,1,AE,AE,ID,37_52,117,139,0.9404168972514296,0.9423729283058788,2.7378647473443487,12000.0,374.6499938964844,16.300003051757812,0.0,0.0
VT,band,2,A,A,ID,36_52,402,530,0.982497887918896,0.9729731485197594,0.632824558747173,6000.0,250.21517944335938,12.25,0.0,0.0
VT,band,2,A,A,ID,36_53,29,37,0.9794967381174278,0.9713853677273447,8.058741670771274,12000.0,267.219482421875,10.800010681152344,0.0,0.0
VT,band,2,A,A,ID,37_50,494,705,0.9908002411921785,0.9844659561266949,3.899178062337426,6000.0,311.4225158691406,18.899993896484375,0.0,0.0
VT,band,2,A,AE,OOD,36_52,511,757,0.9779203623325157,0.963107217504666,0.632824558747173,6000.0,250.2450408935547,12.700008392333984,0.0,0.0
VT,band,2,A,AE,OOD,36_53,43,120,0.9841085271317829,0.9452403231617732,8.058741670771274,12000.0,299.3232727050781,35.0,0.0,0.0
VT,band,2,A,AE,OOD,37_50,705,866,0.9868491310828297,0.9834695386230985,3.899178062337426,6000.0,302.4149169921875,14.0,0.0,0.0
VT,band,2,AE,A,OOD,36_52,402,530,0.9814747019618888,0.9702272671467033,0.632824558747173,6000.0,250.21517944335938,12.25,0.0,0.0
VT,band,2,AE,A,OOD,36_53,29,37,0.9813606710158435,0.972749135764994,8.058741670771274,12000.0,267.219482421875,10.800010681152344,0.0,0.0
VT,band,2,AE,A,OOD,37_50,494,705,0.9908461825595085,0.985944492600016,3.899178062337426,6000.0,311.4225158691406,18.899993896484375,0.0,0.0
VT,band,2,AE,AE,ID,36_52,511,757,0.975953074630261,0.957265597948504,0.632824558747173,6000.0,250.2450408935547,12.700008392333984,0.0,0.0
VT,band,2,AE,AE,ID,36_53,43,120,0.9864341085271318,0.9504546394541593,8.058741670771274,12000.0,299.3232727050781,35.0,0.0,0.0
VT,band,2,AE,AE,ID,37_50,705,866,0.990182300624048,0.9874769798902189,3.899178062337426,6000.0,302.4149169921875,14.0,0.0,0.0
VT,band,3,A,A,ID,35_52,222,129,0.9839025071583212,0.9902483587564799,0.632824558747173,6000.0,56.29670715332031,2.0,0.0,0.027777777777525516
VT,band,3,A,A,ID,37_49,693,855,0.987718454385121,0.9848901833463055,2.0980755805239,6000.0,337.20330810546875,15.850006103515625,0.0,0.0
VT,band,3,A,AE,OOD,35_52,950,262,0.9627119325030131,0.9858893209139261,0.632824558747173,6000.0,31.477102279663086,0.4499998092651367,0.0,0.11000000000029249
VT,band,3,A,AE,OOD,37_49,918,992,0.985963964438822,0.9854379337362942,2.0980755805239,6000.0,315.317138671875,14.29998779296875,0.0,0.0
VT,band,3,AE,A,OOD,35_52,222,129,0.9746839863118932,0.9849676794773122,0.632824558747173,6000.0,56.29670715332031,2.0,0.0,0.027777777777525516
VT,band,3,AE,A,OOD,37_49,693,855,0.9861910668928213,0.9813763853229976,2.0980755805239,6000.0,337.20330810546875,15.850006103515625,0.0,0.0
VT,band,3,AE,AE,ID,35_52,950,262,0.957127360385697,0.9862267125715429,0.632824558747173,6000.0,31.477102279663086,0.4499998092651367,0.0,0.11000000000029249
VT,band,3,AE,AE,ID,37_49,918,992,0.9852534875957552,0.9846021732263434,2.0980755805239,6000.0,315.317138671875,14.29998779296875,0.0,0.0
VT,shadedX,0,A,A,ID,36_49,738,66,0.7563439270756345,0.9673482425510412,1.2456999735442347,6000.0,212.06592559814453,0.9000091552734375,0.0,0.0
VT,shadedX,0,A,A,ID,36_51,402,148,0.8163069786204115,0.919348403130477,2.7378647473443487,6000.0,163.85140991210938,2.1000022888183594,0.0,0.0
VT,shadedX,0,A,A,ID,37_48,570,53,0.7541211519364449,0.9689419012289191,2.0980755805239,12000.0,376.9096984863281,0.0,0.0,0.030000000000024646
VT,shadedX,0,A,AE,OOD,36_49,367,58,0.804942215540731,0.9597399959135232,1.2456999735442347,12000.0,204.11477661132812,1.3000030517578125,0.0,0.0
VT,shadedX,0,A,AE,OOD,36_51,568,124,0.8161489095865516,0.9486203986339277,2.7378647473443487,6000.0,176.23644256591797,1.7000007629394531,0.0,0.0
VT,shadedX,0,A,AE,OOD,37_48,264,56,0.7742830086580087,0.9312314657913631,2.0980755805239,12000.0,404.76109313964844,0.5,0.0,0.0077777777773372836
VT,shadedX,0,AE,A,OOD,36_49,738,66,0.7937710437710437,0.9737167260399515,1.2456999735442347,6000.0,212.06592559814453,0.9000091552734375,0.0,0.0
VT,shadedX,0,AE,A,OOD,36_51,402,148,0.8279212047868765,0.9248614684134104,2.7378647473443487,6000.0,163.85140991210938,2.1000022888183594,0.0,0.0
VT,shadedX,0,AE,A,OOD,37_48,570,53,0.7369745117510758,0.9626001140965901,2.0980755805239,12000.0,376.9096984863281,0.0,0.0,0.030000000000024646
VT,shadedX,0,AE,AE,ID,36_49,367,58,0.759184440477309,0.9474790577412657,1.2456999735442347,12000.0,204.11477661132812,1.3000030517578125,0.0,0.0
VT,shadedX,0,AE,AE,ID,36_51,568,124,0.8485773512039981,0.9627812275381645,2.7378647473443487,6000.0,176.23644256591797,1.7000007629394531,0.0,0.0
VT,shadedX,0,AE,AE,ID,37_48,264,56,0.7245670995670995,0.9135407847867957,2.0980755805239,12000.0,404.76109313964844,0.5,0.0,0.0077777777773372836
VT,shadedX,1,A,A,ID,36_48,211,33,0.8458997558523625,0.9676747382774378,2.966575696441484,6000.0,227.94055938720703,2.0,0.0,0.0011111111110979888
VT,shadedX,1,A,A,ID,36_50,1469,111,0.7301222256974469,0.9709810575615583,1.2456999735442347,12000.0,149.8724365234375,2.0,0.0,0.0
VT,shadedX,1,A,A,ID,37_51,222,46,0.6170191931061496,0.869333285312052,0.8394054991673486,12000.0,205.3835220336914,2.450000762939453,0.0,0.0
VT,shadedX,1,A,A,ID,37_52,405,26,0.868471035137702,0.9899106627101832,2.7378647473443487,12000.0,321.12457275390625,0.9000244140625,0.0,0.0
VT,shadedX,1,A,AE,OOD,36_48,183,37,0.9042977403633141,0.9806931103309895,2.966575696441484,6000.0,228.37808227539062,1.7500076293945312,0.0,0.0005555555555414153
VT,shadedX,1,A,AE,OOD,36_50,755,113,0.7700521596436734,0.9519247257172152,1.2456999735442347,12000.0,161.34817504882812,1.899993896484375,0.0,0.0
VT,shadedX,1,A,AE,OOD,37_51,299,46,0.5562745383161262,0.8932649701147028,0.8394054991673486,12000.0,206.0107421875,2.0999984741210938,0.0,0.0
VT,shadedX,1,A,AE,OOD,37_52,117,27,0.8670465337132004,0.9678098153458841,2.7378647473443487,12000.0,294.12083435058594,1.9499969482421875,0.0,0.0
VT,shadedX,1,AE,A,OOD,36_48,211,33,0.8392934080137872,0.969143484316944,2.966575696441484,6000.0,227.94055938720703,2.0,0.0,0.0011111111110979888
VT,shadedX,1,AE,A,OOD,36_50,1469,111,0.7528992573240361,0.9753623696386446,1.2456999735442347,12000.0,149.8724365234375,2.0,0.0,0.0
VT,shadedX,1,AE,A,OOD,37_51,222,46,0.5547395221308266,0.81685811001953,0.8394054991673486,12000.0,205.3835220336914,2.450000762939453,0.0,0.0
VT,shadedX,1,AE,A,OOD,37_52,405,26,0.915764482431149,0.993993335459185,2.7378647473443487,12000.0,321.12457275390625,0.9000244140625,0.0,0.0
VT,shadedX,1,AE,AE,ID,36_48,183,37,0.8780091566976813,0.9701282888351888,2.966575696441484,6000.0,228.37808227539062,1.7500076293945312,0.0,0.0005555555555414153
VT,shadedX,1,AE,AE,ID,36_50,755,113,0.7691965070620641,0.9562287936901313,1.2456999735442347,12000.0,161.34817504882812,1.899993896484375,0.0,0.0
VT,shadedX,1,AE,AE,ID,37_51,299,46,0.5109059182783191,0.8389509070327923,0.8394054991673486,12000.0,206.0107421875,2.0999984741210938,0.0,0.0
VT,shadedX,1,AE,AE,ID,37_52,117,27,0.9012345679012346,0.9771833339857012,2.7378647473443487,12000.0,294.12083435058594,1.9499969482421875,0.0,0.0
VT,shadedX,2,A,A,ID,36_52,402,95,0.7923016496465042,0.9393606011127613,0.632824558747173,6000.0,196.28245544433594,2.0,0.0,0.0
VT,shadedX,2,A,A,ID,37_50,494,165,0.7625199362041468,0.9117557367094262,3.899178062337426,6000.0,182.57752990722656,2.899993896484375,0.0,0.008888888888450429
VT,shadedX,2,A,AE,OOD,36_52,511,114,0.7682047584715213,0.9217772858954547,0.632824558747173,6000.0,198.77561950683594,2.0999908447265625,0.0,0.0
VT,shadedX,2,A,AE,OOD,37_50,705,139,0.800877595795704,0.9531167115535385,3.899178062337426,6000.0,185.52005004882812,1.6999969482421875,0.0,0.0022222222221959776
VT,shadedX,2,AE,A,OOD,36_52,402,95,0.7924325739722441,0.9399240239928432,0.632824558747173,6000.0,196.28245544433594,2.0,0.0,0.0
VT,shadedX,2,AE,A,OOD,37_50,494,165,0.7631824316034842,0.9069281475755118,3.899178062337426,6000.0,182.57752990722656,2.899993896484375,0.0,0.008888888888450429
VT,shadedX,2,AE,AE,ID,36_52,511,114,0.8169911079067531,0.9467020261359997,0.632824558747173,6000.0,198.77561950683594,2.0999908447265625,0.0,0.0
VT,shadedX,2,AE,AE,ID,37_50,705,139,0.8045104342058269,0.9536834059505588,3.899178062337426,6000.0,185.52005004882812,1.6999969482421875,0.0,0.0022222222221959776
VT,shadedX,3,A,A,ID,35_52,222,109,0.9018100669476816,0.9535541844048527,0.632824558747173,6000.0,34.43815994262695,0.7999992370605469,0.0,0.0966666666666922
VT,shadedX,3,A,A,ID,37_49,693,200,0.7425468975468975,0.8972594882510906,2.0980755805239,6000.0,244.0197296142578,2.0,0.0,0.0
VT,shadedX,3,A,AE,OOD,35_52,950,108,0.9017446393762183,0.9874317828271084,0.632824558747173,6000.0,30.864272117614746,0.0,0.0,0.13166666666692312
VT,shadedX,3,A,AE,OOD,37_49,918,225,0.7144855967078189,0.9020843379248003,2.0980755805239,6000.0,216.56224060058594,3.0,0.0,0.0
VT,shadedX,3,AE,A,OOD,35_52,222,109,0.9074716918753617,0.9524020951916061,0.632824558747173,6000.0,34.43815994262695,0.7999992370605469,0.0,0.0966666666666922
VT,shadedX,3,AE,A,OOD,37_49,693,200,0.7502741702741702,0.8992206579826177,2.0980755805239,6000.0,244.0197296142578,2.0,0.0,0.0
VT,shadedX,3,AE,AE,ID,35_52,950,108,0.9012573099415208,0.9875600750770617,0.632824558747173,6000.0,30.864272117614746,0.0,0.0,0.13166666666692312
VT,shadedX,3,AE,AE,ID,37_49,918,225,0.6955071411280562,0.8908407865616366,2.0980755805239,6000.0,216.56224060058594,3.0,0.0,0.0
CO,band,0,A,A,ID,-11_33,452,173,0.9690649138063329,0.986782673569379,0.5340172771990488,12000.0,1060.7296142578125,1.300048828125,0.0,0.0
CO,band,0,A,A,ID,-14_36,473,277,0.9708748979171277,0.9828584853142204,1.8972700132404465,24000.0,1761.2210083007812,2.5,0.0,0.0
CO,band,0,A,A,ID,-14_37,419,233,0.9913241214008419,0.9951304850882084,2.618682738577198,24000.0,1585.0201416015625,2.10003662109375,0.0,0.0
CO,band,0,A,A,ID,-15_32,87,56,0.9819376026272577,0.9841051738309703,0.26492988682649626,24000.0,1797.51220703125,3.0999755859375,0.0,0.0
CO,band,0,A,A,ID,-15_34,640,566,0.9881018109540636,0.9897418254664081,0.6992865332940402,12000.0,1447.8450317382812,2.699951171875,0.0,0.0
CO,band,0,A,A,ID,-15_37,414,414,0.9852738687017201,0.9795180686664932,2.618682738577198,12000.0,1720.4225463867188,3.699951171875,0.0,0.0
CO,band,0,A,A,ID,-15_38,568,282,0.9773686444910598,0.9879895104533063,0.4985742665666153,12000.0,1513.8509521484375,1.9000244140625,0.0,0.0
CO,band,0,A,A,ID,-16_34,522,435,0.9896992116968336,0.9909924931573381,0.6992865332940402,12000.0,1578.298583984375,4.0,0.0,0.0
CO,band,0,A,A,ID,-16_36,84,311,0.9893201653651814,0.9503230040401554,1.8972700132404465,6000.0,2232.51806640625,28.0,0.0,0.0
CO,band,0,A,A,ID,-18_37,100,211,0.9929857819905213,0.984646485442546,1.4738408079160736,6000.0,2954.24853515625,41.10009765625,0.0,0.0
CO,band,0,A,A,ID,-19_37,72,216,0.9949845679012346,0.9816879981434166,2.742322162871958,6000.0,2453.02099609375,44.550048828125,0.0,0.0
CO,band,0,A,A,ID,-20_32,111,292,0.9937985931136616,0.9632456186395774,0.8200771853291582,12000.0,2218.86083984375,31.39990234375,0.0,0.0
CO,band,0,A,A,ID,-20_36,52,118,1.0,1.0,2.9405562386278166,12000.0,2094.106201171875,35.550048828125,0.0,0.0
CO,band,0,A,A,ID,-20_38,49,84,1.0,1.0,0.019068590551404925,12000.0,2263.533203125,21.0999755859375,0.0,0.0
CO,band,0,A,AE,OOD,-11_33,336,40,0.9661458333333334,0.9955300889913936,0.5340172771990488,12000.0,1056.0014038085938,1.0,0.0,0.0
CO,band,0,A,AE,OOD,-14_36,41,66,0.9168514412416852,0.900124413345581,1.8972700132404465,24000.0,1745.984375,4.0,0.0,0.0
CO,band,0,A,AE,OOD,-15_32,56,75,0.9833333333333333,0.9795387349454018,0.26492988682649626,24000.0,1804.202880859375,4.0999755859375,0.0,0.0
CO,band,0,A,AE,OOD,-15_34,558,647,0.985826505570236,0.9868580544368792,0.6992865332940402,12000.0,1453.62548828125,3.4000244140625,0.0,0.0
CO,band,0,A,AE,OOD,-15_37,689,934,0.9887168506012189,0.9855690041763766,2.618682738577198,12000.0,1714.9801025390625,4.5999755859375,0.0,0.0
CO,band,0,A,AE,OOD,-15_38,1082,738,0.9834342705719109,0.9886295092193441,0.4985742665666153,12000.0,1517.80126953125,2.0999755859375,0.0,0.0
CO,band,0,A,AE,OOD,-16_34,244,215,0.9858940144872284,0.9890229090834396,0.6992865332940402,12000.0,1584.3172607421875,3.89990234375,0.0,0.0
CO,band,0,A,AE,OOD,-16_36,99,305,0.9916873654578573,0.9744459653206498,1.8972700132404465,6000.0,2227.36669921875,25.1500244140625,0.0,0.0
CO,band,0,A,AE,OOD,-18_37,54,224,0.9950396825396826,0.9783928419718582,1.4738408079160736,6000.0,2990.10986328125,60.599853515625,0.0,0.0
CO,band,0,A,AE,OOD,-19_37,77,277,0.9973275821651273,0.9875795786784678,2.742322162871958,6000.0,2475.89794921875,64.0,0.0,0.0
CO,band,0,A,AE,OOD,-19_38,93,144,0.9981332138590203,0.9974960297540942,3.8036216647881775,6000.0,2127.780517578125,18.300048828125,0.0,0.0
CO,band,0,A,AE,OOD,-20_32,40,141,0.9968085106382979,0.9892951560498267,0.8200771853291582,12000.0,2226.931640625,35.900146484375,0.0,0.0
CO,band,0,A,AE,OOD,-20_36,45,162,0.9987654320987654,0.9952199772852349,2.742322162871958,24000.0,2267.1630859375,45.199951171875,0.0,0.0
CO,band,0,AE,A,OOD,-11_33,452,173,0.9750754514297406,0.9901022672134041,0.5340172771990488,12000.0,1060.7296142578125,1.300048828125,0.0,0.0
CO,band,0,AE,A,OOD,-14_36,473,277,0.9683485853412812,0.9801171365160981,1.8972700132404465,24000.0,1761.2210083007812,2.5,0.0,0.0
CO,band,0,AE,A,OOD,-14_37,419,233,0.9918772470730434,0.9954212178723323,2.618682738577198,24000.0,1585.0201416015625,2.10003662109375,0.0,0.0
CO,band,0,AE,A,OOD,-15_32,87,56,0.9872742200328407,0.9897411182327632,0.26492988682649626,24000.0,1797.51220703125,3.0999755859375,0.0,0.0
CO,band,0,AE,A,OOD,-15_34,640,566,0.9876214664310955,0.988774370381735,0.6992865332940402,12000.0,1447.8450317382812,2.699951171875,0.0,0.0
CO,band,0,AE,A,OOD,-15_37,414,414,0.9845387290251815,0.974703512419735,2.618682738577198,12000.0,1720.4225463867188,3.699951171875,0.0,0.0
CO,band,0,AE,A,OOD,-15_38,568,282,0.9654942063729897,0.9794648483956017,0.4985742665666153,12000.0,1513.8509521484375,1.9000244140625,0.0,0.0
CO,band,0,AE,A,OOD,-16_34,522,435,0.9886290571189502,0.9907725310029322,0.6992865332940402,12000.0,1578.298583984375,4.0,0.0,0.0
