state,protocol,train,group,variable,n,spearman,p_value
CO,shadedX,A,terrain,elev,23,-0.3389328063241107,0.11363585102172943
CO,shadedX,AE,provenance,bfe,22,0.3693022734705181,0.09074744638954453
CO,shadedX,AE,provenance,panel_scale,23,-0.4155182400728919,0.04862955288877513
CO,shadedX,AE,terrain,hand,23,0.30693129483696835,0.15428480077529488
CO,shadedX,AE,terrain,imperv,23,0.37585038978289087,0.07715181961728924
CO,shadedX,AE,terrain,water,23,0.05652126895768185,0.797831510600807
CO,shadedX,AE,terrain,elev,23,0.366600790513834,0.08532326296408224
FL,band,A,provenance,bfe,50,0.02872238315295229,0.8430436827800403
FL,band,A,provenance,panel_scale,51,0.0058189086369562415,0.9676742338624833
FL,band,A,terrain,hand,51,0.04041547005136378,0.7782625912574526
FL,band,A,terrain,water,51,-0.13107321714624925,0.3592432490247443
FL,band,A,terrain,elev,51,0.09927601809954752,0.48823959102119097
FL,band,AE,provenance,bfe,50,0.21311556627085684,0.13728707184795655
FL,band,AE,provenance,panel_scale,51,-0.1747455065316986,0.22002647571449513
FL,band,AE,terrain,hand,51,0.21276116134149656,0.13388088460097353
FL,band,AE,terrain,water,51,-0.12625928901896855,0.3773126585831412
FL,band,AE,terrain,elev,51,0.05493709860494765,0.7017995207483507
FL,shadedX,A,provenance,bfe,44,0.13696602828423188,0.3753141111438944
FL,shadedX,A,provenance,panel_scale,46,0.022335464926362188,0.8828669874275057
FL,shadedX,A,terrain,hand,46,-0.19199804116584068,0.20114778256920937
FL,shadedX,A,terrain,imperv,46,0.0050426432217577,0.9734673900161006
FL,shadedX,A,terrain,water,46,0.18950821169916188,0.20716407728332012
FL,shadedX,A,terrain,elev,46,0.012889300030835646,0.9322477823715489
FL,shadedX,AE,provenance,bfe,44,0.10681803458504098,0.49011169365255
FL,shadedX,AE,provenance,panel_scale,46,-0.1603008785762569,0.2872410840687494
FL,shadedX,AE,terrain,hand,46,0.13828213905821196,0.35941635100992997
FL,shadedX,AE,terrain,imperv,46,0.3294814735938661,0.025352000232557775
FL,shadedX,AE,terrain,water,46,-0.07408707136759494,0.624609668774024
FL,shadedX,AE,terrain,elev,46,0.12352759790317606,0.4134214779504758
IA,band,A,provenance,bfe,43,-0.10285455486592622,0.5116104539279326
IA,band,A,terrain,hand,43,-0.1626765391802877,0.29728631741238615
IA,band,A,terrain,water,43,-0.11655798136071709,0.4566695205753567
IA,band,A,terrain,elev,43,-0.026125037752944728,0.8679259861208756
IA,band,AE,provenance,bfe,43,0.0823325083266649,0.5996708452508241
IA,band,AE,provenance,panel_scale,43,-0.0011238069220848366,0.9942934680551591
IA,band,AE,terrain,hand,43,0.18342458112762738,0.2390462931528625
IA,band,AE,terrain,water,43,0.1597817654974787,0.3060814660366076
IA,band,AE,terrain,elev,43,-0.25732407127755963,0.09574347611349371
IA,shadedX,A,provenance,bfe,39,0.049908889461941656,0.7628591917557146
IA,shadedX,A,terrain,hand,39,-0.06313605261304382,0.7025818059514711
IA,shadedX,A,terrain,water,39,-0.1817967909520852,0.2680156798232553
IA,shadedX,A,terrain,elev,39,0.2461538461538462,0.13089883280663206
IA,shadedX,AE,provenance,bfe,39,-0.09457749956629657,0.5668438298468192
IA,shadedX,AE,provenance,panel_scale,39,0.24807183443667927,0.1278292498651638
IA,shadedX,AE,terrain,hand,39,0.17600578366296754,0.28381495629590303
IA,shadedX,AE,terrain,water,39,0.09287342401229737,0.5738832382606024
IA,shadedX,AE,terrain,elev,39,-0.012753036437246963,0.938580176292017
LA,band,A,provenance,bfe,35,0.11098656452135783,0.5256078398234716
LA,band,A,terrain,hand,35,0.15259582862292329,0.3815063814101064
LA,band,A,terrain,water,35,0.28925065402473293,0.09192601338601437
LA,band,A,terrain,elev,35,0.19299719887955183,0.2666528988804785
LA,band,AE,provenance,bfe,35,-0.06902851723980855,0.6935680506394661
LA,band,AE,provenance,panel_scale,35,-0.38824880806004697,0.021181443652501946
LA,band,AE,terrain,hand,35,0.17804861358265373,0.3061657760771771
LA,band,AE,terrain,water,35,-0.4648421156286093,0.004901582553200277
LA,band,AE,terrain,elev,35,0.16750700280112046,0.3361432601873136
LA,shadedX,A,provenance,bfe,29,0.28740456465059355,0.13059935538049708
LA,shadedX,A,terrain,hand,29,-0.0498458595776821,0.7973484544067315
LA,shadedX,A,terrain,water,29,-0.1086780382100621,0.574680188146161
LA,shadedX,A,terrain,elev,29,-0.13004926108374382,0.5013321216708113
LA,shadedX,AE,provenance,bfe,29,-0.20887808727269364,0.2768536125957609
LA,shadedX,AE,terrain,hand,29,0.07563439500292574,0.6965758358378742
LA,shadedX,AE,terrain,water,29,-0.4586313846585839,0.012338449061770621
LA,shadedX,AE,terrain,elev,29,-0.016256157635467977,0.93329759520479
MN,band,A,provenance,bfe,42,-0.018404413536415243,0.907902674163806
