cell,split,n_sel,n_ev,frac,k,r_full,tiles,tiles_total,r_oodselect,r_nullsel,r_hard,r_random,excess_over_null
FL_band_A,random-split,75,26,0.05,381,0.8285865324760671,17,23,-0.7962011185948703,-0.02559995465821529,0.3255936398367596,0.7899839970398137,-0.770601163936655
FL_band_A,random-split,75,26,0.1,763,0.8285865324760671,17,23,-0.806664783991677,-0.04876927794243733,0.4840375500769439,0.8190981638987922,-0.7578955060492396
FL_band_A,random-split,75,26,0.25,1908,0.8285865324760671,23,23,0.5699901047834859,0.8369222047374181,0.6742735196373026,0.8315316630454592,-0.2669320999539322
FL_band_A,trees->others,72,54,0.05,381,0.63229644196694,15,23,-0.6462630975469067,-0.5637952811294302,0.08047899773683036,0.6313141528404245,-0.08246781641747647
FL_band_A,trees->others,72,54,0.1,763,0.63229644196694,17,23,-0.6364067066282559,-0.21529474100201665,0.15449129886354648,0.6004756315802533,-0.4211119656262393
FL_band_A,trees->others,72,54,0.25,1908,0.63229644196694,23,23,0.5275179359973394,0.6403237541119294,-0.5448033464294233,0.6323611726660988,-0.11280581811459
FL_band_A,others->trees,54,72,0.05,381,0.9545797198886219,20,23,-0.7577572742849942,-0.20943140958036408,0.28576821923770584,0.9450444760868771,-0.5483258647046301
FL_band_A,others->trees,54,72,0.1,763,0.9545797198886219,21,23,-0.8169291562031096,0.6012911359030298,0.45041718256732527,0.9598228703081851,-1.4182202921061395
FL_band_A,others->trees,54,72,0.25,1908,0.9545797198886219,23,23,0.702325997427971,0.9528980169171111,0.8127239526586544,0.9525064953606445,-0.2505720194891401
FL_band_AE,random-split,75,26,0.05,470,0.7978456689050946,21,23,-0.8995484016014696,-0.09589294379904255,0.5398538972566842,0.8285328824494107,-0.8036554578024271
FL_band_AE,random-split,75,26,0.1,941,0.7978456689050946,21,23,-0.7659573028571471,0.025185328437347297,0.6176103797287661,0.7726176339730786,-0.7911426312944945
FL_band_AE,random-split,75,26,0.25,2353,0.7978456689050946,23,23,-0.5095804700904252,0.7348592703757846,0.7432074776404909,0.8238932311529417,-1.2444397404662098
FL_band_AE,trees->others,72,54,0.05,470,0.6156707722194403,20,23,-0.8466696496884595,-0.688878085047967,0.3885315535237681,0.7176131211307303,-0.1577915646404925
FL_band_AE,trees->others,72,54,0.1,941,0.6156707722194403,22,23,-0.7455873347438986,-0.5196402283541268,0.6095767310071167,0.5505964172625947,-0.22594710638977178
FL_band_AE,trees->others,72,54,0.25,2353,0.6156707722194403,23,23,-0.2627624845840339,0.4616655842691626,0.7611756665788759,0.670680099551427,-0.7244280688531965
FL_band_AE,others->trees,54,72,0.05,470,0.9138588914124288,22,23,-0.901467127189699,0.6095939023469552,0.4916080274170344,0.9128887739875703,-1.5110610295366542
FL_band_AE,others->trees,54,72,0.1,941,0.9138588914124288,21,23,-0.7898620974949212,0.6452233749529456,0.5556926272314222,0.9178934693197803,-1.4350854724478668
FL_band_AE,others->trees,54,72,0.25,2353,0.9138588914124288,22,23,-0.6165577645574386,0.9578178615647094,0.6250438241884295,0.9131620213589356,-1.574375626122148
FL_shadedX_A,random-split,75,26,0.05,357,0.779483498511674,22,23,-0.8716934659333293,-0.6186312301021765,-0.6728681131749271,0.6517367848603258,-0.25306223583115284
FL_shadedX_A,random-split,75,26,0.1,715,0.779483498511674,20,23,-0.6628601255914243,-0.3376241132020237,-0.6462078699095437,0.7711380244466869,-0.3252360123894006
FL_shadedX_A,random-split,75,26,0.25,1788,0.779483498511674,23,23,-0.22163074661384574,0.8819643913609281,-0.5548422039905794,0.8141727160099739,-1.1035951379747737
FL_shadedX_A,trees->others,72,54,0.05,357,0.49302274797990164,21,23,-0.7532201474733673,-0.5368443733526467,-0.702263190002742,0.48149268355085845,-0.21637577412072062
FL_shadedX_A,trees->others,72,54,0.1,715,0.49302274797990164,21,23,-0.68612567850233,-0.44863470606721806,-0.6883519123252206,0.5866953732224055,-0.2374909724351119
FL_shadedX_A,trees->others,72,54,0.25,1788,0.49302274797990164,23,23,-0.39478803628819276,0.4275508024096643,-0.6522321288908589,0.41450972397078256,-0.8223388386978571
FL_shadedX_A,others->trees,54,72,0.05,357,0.8806783470752236,21,23,-0.9406656712917058,-0.7808431866154574,-0.8222700496285368,0.8725640335489662,-0.15982248467624838
FL_shadedX_A,others->trees,54,72,0.1,715,0.8806783470752236,21,23,-0.8188449244726046,-0.0703243513913291,-0.7974849926882438,0.9027082109615868,-0.7485205730812755
FL_shadedX_A,others->trees,54,72,0.25,1788,0.8806783470752236,23,23,-0.7885521219639794,0.003056061426874712,-0.7557164399609815,0.8858783192628273,-0.7916081833908541
FL_shadedX_AE,random-split,75,26,0.05,488,0.4591764098255466,22,23,-0.8682238373501657,-0.28154916489866894,-0.6162342615741795,0.4467502000091711,-0.5866746724514968
FL_shadedX_AE,random-split,75,26,0.1,976,0.4591764098255466,22,23,-0.7184260727856971,-0.31968629329487946,-0.6302788131482435,0.4557464667222002,-0.3987397794908177
FL_shadedX_AE,random-split,75,26,0.25,2440,0.4591764098255466,23,23,-0.3659325820104885,-0.009362012125808514,-0.5466232422299762,0.47791944766585914,-0.35657056988468
FL_shadedX_AE,trees->others,72,54,0.05,488,0.32776348275250466,21,23,-0.7506819584548364,-0.4745694757494182,-0.697616708004156,0.3544373698350367,-0.2761124827054182
FL_shadedX_AE,trees->others,72,54,0.1,976,0.32776348275250466,23,23,-0.6423427031311566,-0.24634737712791277,-0.7196869969691454,0.20070852211118734,-0.39599532600324383
FL_shadedX_AE,trees->others,72,54,0.25,2440,0.32776348275250466,23,23,-0.27676190031009545,0.6996606952861235,-0.6409191886044817,0.3976414159325115,-0.9764225955962189
FL_shadedX_AE,others->trees,54,72,0.05,488,0.8947878975796103,22,23,-0.8916070433159214,-0.3707600077006281,-0.894628250763443,0.8812051051515015,-0.5208470356152933
FL_shadedX_AE,others->trees,54,72,0.1,976,0.8947878975796103,22,23,-0.7121788938575037,0.4740240421790293,-0.8725032152359053,0.8850848307365763,-1.186202936036533
FL_shadedX_AE,others->trees,54,72,0.25,2440,0.8947878975796103,23,23,-0.4492360532066543,0.9402410272001249,-0.7468988742813858,0.8909807501302672,-1.3894770804067793
