state,protocol,train,group,variable,n,spearman,p_value
AZ,band,A,provenance,bfe,52,-0.30762243990122773,0.02652261501832447
AZ,band,A,provenance,panel_scale,52,0.04557022726439333,0.7483694868365808
AZ,band,A,terrain,hand,52,0.01784456448833548,0.9000795510803348
AZ,band,A,terrain,water,52,-0.06928518010161155,0.6255042107135732
AZ,band,A,terrain,elev,52,0.14957739264065567,0.2898886107608678
AZ,band,AE,provenance,bfe,52,0.257372673415272,0.06547653285204794
AZ,band,AE,provenance,panel_scale,52,0.009474651685138176,0.946849766031497
AZ,band,AE,terrain,hand,52,0.039109366048578786,0.7831078267077184
AZ,band,AE,terrain,elev,52,-0.2002049005378639,0.1547197433080422
AZ,shadedX,A,provenance,bfe,20,0.16009967473916206,0.5001489268539304
AZ,shadedX,A,provenance,panel_scale,20,0.2417468892076141,0.30449354923478567
AZ,shadedX,A,terrain,hand,20,0.23458646616541348,0.3194764651496699
AZ,shadedX,A,terrain,elev,20,-0.022556390977443608,0.9247982163788796
AZ,shadedX,AE,provenance,bfe,20,-0.12613913767327917,0.5961721475854173
AZ,shadedX,AE,provenance,panel_scale,20,-0.07803759230561577,0.743651016375027
AZ,shadedX,AE,terrain,hand,20,-0.3398496240601503,0.14263670537136694
AZ,shadedX,AE,terrain,elev,20,0.006015037593984962,0.9799209119891912
CO,band,A,provenance,bfe,39,0.037789389875075054,0.819336895663365
CO,band,A,provenance,panel_scale,39,0.024412472842058552,0.8827235955792025
CO,band,A,terrain,hand,39,0.3229920546674067,0.04490188273866702
CO,band,A,terrain,water,39,-0.009636802900552592,0.953569366527025
CO,band,A,terrain,elev,39,0.15,0.3620616705836037
CO,band,AE,provenance,bfe,39,-0.061293782505148546,0.7108799948744241
CO,band,AE,provenance,panel_scale,39,0.01274878925098426,0.9386005923734158
CO,band,AE,terrain,hand,39,-0.2682593542086718,0.09869873940395152
CO,band,AE,terrain,water,39,0.08256987939791653,0.6172675853310223
CO,band,AE,terrain,elev,39,-0.19109311740890692,0.2438870146398973
CO,shadedX,A,provenance,bfe,22,-0.16308106133258002,0.4683632720540588
CO,shadedX,A,provenance,panel_scale,23,-0.13752990105504523,0.5314637180811725
CO,shadedX,A,terrain,hand,23,-0.07717047702027173,0.7263535796617425
CO,shadedX,A,terrain,imperv,23,-0.12124206122028738,0.5815853871462129
CO,shadedX,A,terrain,water,23,0.11463264670732551,0.6024900626564973
CO,shadedX,A,terrain,elev,23,0.06027667984189724,0.7846962247332137
CO,shadedX,AE,provenance,bfe,22,0.21008011720273326,0.3480514221446692
CO,shadedX,AE,provenance,panel_scale,23,0.08117973257810923,0.7127078903471301
CO,shadedX,AE,terrain,hand,23,0.46738197826902045,0.024531184155994607
CO,shadedX,AE,terrain,water,23,0.03558650947270258,0.8719359083238236
CO,shadedX,AE,terrain,elev,23,0.16205533596837948,0.4600567015448337
FL,band,A,provenance,bfe,50,-0.3035688679794458,0.03210331463598566
FL,band,A,provenance,panel_scale,51,-0.05135906606414663,0.7204027174791315
FL,band,A,terrain,hand,51,-0.3336878076334377,0.01671299821413586
FL,band,A,terrain,water,51,0.1142953617090155,0.42451141920215274
FL,band,A,terrain,elev,51,-0.1713122171945701,0.22936578110896408
FL,band,AE,provenance,bfe,50,0.3250954838188008,0.021245492129782242
FL,band,AE,provenance,panel_scale,51,0.0489702722937212,0.7329134086668037
FL,band,AE,terrain,hand,51,0.2925019234634142,0.03726125775633149
FL,band,AE,terrain,water,51,-0.12250168128523488,0.39178722369294944
