r_h1,r_h2,r_h2_random,r_full,n_h1,n_h2,n_h1_selected,n_h2_selected,mu,frac,knn,graph,purity_h2,n_cc_h2,cell,state,protocol,train_dom,seed
-0.964519866745422,-0.7106061309880431,0.8599141050562003,0.847788707617345,4693,4719,234,235,0.0,0.05,10,knn,0.6675348081973139,23,FL_band_AE_s0,FL,band,AE,0
-0.9378228444487833,-0.48743776054318466,0.8599141050562003,0.847788707617345,4693,4719,234,235,0.1,0.05,10,knn,0.6874835098919481,22,FL_band_AE_s0,FL,band,AE,0
-0.7632944932999809,-0.5870623569880439,0.8599141050562003,0.847788707617345,4693,4719,234,235,0.3,0.05,10,knn,0.6980775695661079,17,FL_band_AE_s0,FL,band,AE,0
-0.8120297914737066,-0.5560172212341872,0.8599141050562003,0.847788707617345,4693,4719,234,235,1.0,0.05,10,knn,0.7686306111493846,12,FL_band_AE_s0,FL,band,AE,0
-0.7487417583728224,-0.6398387970520965,0.8599141050562003,0.847788707617345,4693,4719,234,235,3.0,0.05,10,knn,0.8195622959296301,9,FL_band_AE_s0,FL,band,AE,0
-0.7088786139092029,-0.2549921818534502,0.8599141050562003,0.847788707617345,4693,4719,234,235,10.0,0.05,10,knn,0.8641956420022753,7,FL_band_AE_s0,FL,band,AE,0
-0.9001384763875573,-0.6894421343113968,0.8486824236506109,0.847788707617345,4693,4719,469,471,0.0,0.1,10,knn,0.6851094089018307,27,FL_band_AE_s0,FL,band,AE,0
-0.9008052578449024,-0.686974326834756,0.8486824236506109,0.847788707617345,4693,4719,469,471,0.1,0.1,10,knn,0.695701784242239,26,FL_band_AE_s0,FL,band,AE,0
-0.9004281118221515,-0.6921843323178231,0.8486824236506109,0.847788707617345,4693,4719,469,471,0.3,0.1,10,knn,0.6970218380028382,26,FL_band_AE_s0,FL,band,AE,0
-0.8879818964462964,-0.685520380592914,0.8486824236506109,0.847788707617345,4693,4719,469,471,1.0,0.1,10,knn,0.7131410420028766,24,FL_band_AE_s0,FL,band,AE,0
-0.7932161460377799,-0.6333103392441545,0.8486824236506109,0.847788707617345,4693,4719,469,471,3.0,0.1,10,knn,0.794332805947643,17,FL_band_AE_s0,FL,band,AE,0
-0.6615717461532831,-0.5499616354875714,0.8486824236506109,0.847788707617345,4693,4719,469,471,10.0,0.1,10,knn,0.8632873137228702,9,FL_band_AE_s0,FL,band,AE,0
-0.613597477104327,-0.4472969949784539,0.87463656616781,0.847788707617345,4693,4719,1173,1179,0.0,0.25,10,knn,0.8268392065254142,25,FL_band_AE_s0,FL,band,AE,0
-0.6128968085134754,-0.4514109676037258,0.87463656616781,0.847788707617345,4693,4719,1173,1179,0.1,0.25,10,knn,0.8260380039112344,25,FL_band_AE_s0,FL,band,AE,0
-0.6107869420227083,-0.4477433423699048,0.87463656616781,0.847788707617345,4693,4719,1173,1179,0.3,0.25,10,knn,0.8392984992159596,25,FL_band_AE_s0,FL,band,AE,0
-0.6124887639998517,-0.44806719745732515,0.87463656616781,0.847788707617345,4693,4719,1173,1179,1.0,0.25,10,knn,0.8386881230049996,22,FL_band_AE_s0,FL,band,AE,0
-0.6030750728328746,-0.4478054810842128,0.87463656616781,0.847788707617345,4693,4719,1173,1179,3.0,0.25,10,knn,0.8461008465170897,22,FL_band_AE_s0,FL,band,AE,0
-0.5706987245560672,-0.4339503277497155,0.87463656616781,0.847788707617345,4693,4719,1173,1179,10.0,0.25,10,knn,0.8590672141974343,20,FL_band_AE_s0,FL,band,AE,0
