cell,tag,split,graph,knn,frac,k,mu,method,n_sel_models,n_rep_models,r_full,r,p,rho,r_train,r_val,purity,P_hard,n_cc,largest_cc_frac,tiles,blocks,moran_I,jaccard_vs_smallest
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.25,2353,0.0,oodselect,180,60,0.847788707617345,-0.36433707898200507,0.004211726125379395,-0.3936649069185886,-0.3702529208408498,-0.3638046324576935,0.4363629230213651,0.6606459838504037,261,0.13259668508287292,23,244,0.250382153434604,2.8095541724452864
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.25,2353,0.0,nullsel,180,60,0.847788707617345,0.7678452547024003,8.15845626055554e-13,0.7285912753542653,,,0.2710128683168173,0.8674033149171271,337,0.05227369315767106,23,278,0.027323970574185535,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.25,2353,0.0,hard,180,60,0.847788707617345,0.3525432953601953,0.0057334460098253485,0.32297860516810234,,,0.5760030467916554,0.49906502337441566,195,0.08202294942626434,23,227,0.43816279736314134,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.25,2353,0.0,random,180,60,0.847788707617345,0.861081997205814,1.1066678278309062e-18,0.8267852181161436,,,0.2536541682531454,0.8872503187420314,354,0.021674458138546536,23,282,0.0045141874462596735,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.25,2353,0.1,oodselect,180,60,0.847788707617345,-0.3668761380277365,0.00393524240881221,-0.3941094748541262,-0.3745466125947743,-0.35719006630297595,0.4350806768805694,0.6664258393540161,304,0.13132171695707606,23,246,0.24722938759912105,2.445109384379377
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.25,2353,0.1,nullsel,180,60,0.847788707617345,0.8036607656010415,1.0841590909724147e-14,0.7572103362045014,,,0.2754771459737552,0.8588185295367616,363,0.08457288567785805,23,276,0.033820578962453426,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.25,2353,0.1,hard,180,60,0.847788707617345,0.3525432953601953,0.0057334460098253485,0.32297860516810234,,,0.5760030467916554,0.49906502337441566,195,0.08202294942626434,23,227,0.43816279736314134,
FL_band_AE_s0,FL_band_AE_s0_mu0p1_knn,random-split,knn,10,0.25,2353,0.1,random,180,60,0.847788707617345,0.861081997205814,1.1066678278309062e-18,0.8267852181161436,,,0.2536541682531454,0.8872503187420314,354,0.021674458138546536,23,282,0.0045141874462596735,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.25,2353,0.3,oodselect,180,60,0.847788707617345,-0.387276493366335,0.0022357673097435993,-0.4156710197277022,-0.383987503802556,-0.3692673958430639,0.43404104649700154,0.6709307267318317,267,0.13769655758606034,23,243,0.24550969714340307,2.8506928445588833
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.25,2353,0.3,nullsel,180,60,0.847788707617345,0.8032638692097771,1.1427708121441022e-14,0.7686023895526537,,,0.277732797534967,0.8586060348491288,368,0.08032299192520187,23,274,0.03613738415974014,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.25,2353,0.3,hard,180,60,0.847788707617345,0.3525432953601953,0.0057334460098253485,0.32297860516810234,,,0.5760030467916554,0.49906502337441566,195,0.08202294942626434,23,227,0.43816279736314134,
FL_band_AE_s0,FL_band_AE_s0_mu0p3_knn,random-split,knn,10,0.25,2353,0.3,random,180,60,0.847788707617345,0.861081997205814,1.1066678278309062e-18,0.8267852181161436,,,0.2536541682531454,0.8872503187420314,354,0.021674458138546536,23,282,0.0045141874462596735,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.25,2353,1.0,oodselect,180,60,0.847788707617345,-0.37113828629878937,0.00350707413418162,-0.4058905251458739,-0.3756850706666308,-0.37114224429999093,0.4422054260859771,0.657033574160646,287,0.15852103697407566,23,244,0.2574281073851151,2.737875376325044
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.25,2353,1.0,nullsel,180,60,0.847788707617345,0.7924663227238794,4.579638526525873e-14,0.7539316476799113,,,0.2728815486038003,0.8588610284742881,372,0.08244793880152997,23,279,0.031694850482468714,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.25,2353,1.0,hard,180,60,0.847788707617345,0.3525432953601953,0.0057334460098253485,0.32297860516810234,,,0.5760030467916554,0.49906502337441566,195,0.08202294942626434,23,227,0.43816279736314134,
FL_band_AE_s0,FL_band_AE_s0_mu1_knn,random-split,knn,10,0.25,2353,1.0,random,180,60,0.847788707617345,0.861081997205814,1.1066678278309062e-18,0.8267852181161436,,,0.2536541682531454,0.8872503187420314,354,0.021674458138546536,23,282,0.0045141874462596735,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.25,2353,3.0,oodselect,180,60,0.847788707617345,-0.39995890880109486,0.0015445366423772764,-0.43239788830230624,-0.40048857445584846,-0.3805927138340859,0.4795795107444553,0.6141946451338717,257,0.13939651508712284,23,238,0.30777682239419124,2.76854609929078
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.25,2353,3.0,nullsel,180,60,0.847788707617345,0.7786742260285006,2.4051332864937046e-13,0.7459294248402335,,,0.28551557744165096,0.8467488312792181,330,0.08754781130471738,23,267,0.04805579440145218,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.25,2353,3.0,hard,180,60,0.847788707617345,0.3525432953601953,0.0057334460098253485,0.32297860516810234,,,0.5760030467916554,0.49906502337441566,195,0.08202294942626434,23,227,0.43816279736314134,
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.25,2353,3.0,random,180,60,0.847788707617345,0.861081997205814,1.1066678278309062e-18,0.8267852181161436,,,0.2536541682531454,0.8872503187420314,354,0.021674458138546536,23,282,0.0045141874462596735,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.25,2353,10.0,oodselect,180,60,0.847788707617345,-0.4717249925031597,0.00014194819992269532,-0.526646290636288,-0.4634229036123306,-0.42425639726656433,0.5931620344255751,0.4775605609859753,191,0.15087122821929452,23,207,0.45961115888029047,3.473072486143758
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.25,2353,10.0,nullsel,180,60,0.847788707617345,0.6976479977867869,5.859192193795369e-10,0.670297304806891,,,0.35070283518491724,0.7621759456013599,312,0.13089672758181045,23,266,0.13829177414732016,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.25,2353,10.0,hard,180,60,0.847788707617345,0.3525432953601953,0.0057334460098253485,0.32297860516810234,,,0.5760030467916554,0.49906502337441566,195,0.08202294942626434,23,227,0.43816279736314134,
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.25,2353,10.0,random,180,60,0.847788707617345,0.861081997205814,1.1066678278309062e-18,0.8267852181161436,,,0.2536541682531454,0.8872503187420314,354,0.021674458138546536,23,282,0.0045141874462596735,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,trees->others,knn,10,0.05,470,0.0,oodselect,188,112,0.6513587556373606,-0.7160178828764359,7.102721396704148e-19,-0.6862592681176752,-0.9512093519800437,,0.3066827099245089,0.8240425531914893,127,0.07021276595744681,20,101,0.2697855945888221,39.05106382978723
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,trees->others,knn,10,0.05,470,0.0,nullsel,188,112,0.6513587556373606,0.31538007197130646,0.00070636218430784,0.2974254279564014,,,0.26098297040881524,0.8729787234042553,158,0.16170212765957448,21,119,0.218886589850081,
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,trees->others,knn,10,0.05,470,0.0,hard,188,112,0.6513587556373606,-0.2608639089654843,0.005469051710446854,-0.23942494960194077,,,0.4794317667800146,0.6076595744680852,110,0.13404255319148936,21,103,0.45209930461325304,
