cell,tag,split,graph,knn,frac,k,mu,method,n_sel_models,n_rep_models,r_full,r,p,rho,r_train,r_val,purity,P_hard,n_cc,largest_cc_frac,tiles,blocks,moran_I,jaccard_vs_smallest,reached_purity
FL_band_AE_s0,FL_band_AE_s0_mu3_knn,random-split,knn,10,0.05,470,3.0,oodselect,180,60,0.847788707617345,-0.8741185414803692,7.66623080882715e-20,-0.8679633231453183,-0.8364221171314058,-0.8328800622333413,0.7103577332649857,0.3374468085106383,36,0.1702127659574468,13,51,0.6908437524358683,39.05106382978723,True
FL_band_AE_s0,FL_band_AE_s0_mu0_knn,random-split,knn,10,0.1,941,0.0,oodselect,180,60,0.847788707617345,-0.7735030566751794,4.3460153908905507e-13,-0.7816615726590721,-0.7130088132031123,-0.6579946859619812,0.5363933430393671,0.5520722635494155,116,0.15727948990435706,22,112,0.4823089895159312,10.776059371934917,True
FL_band_AE_s0,FL_band_AE_s0_mu10_knn,random-split,knn,10,0.25,2353,10.0,oodselect,180,60,0.847788707617345,-0.4717249925031597,0.00014194819992269532,-0.526646290636288,-0.4634229036123306,-0.42425639726656433,0.5931620344255751,0.4775605609859753,191,0.15087122821929452,23,207,0.45961115888029047,3.473072486143758,True
